product_name,product_code,grade,formula,molar_mass,image_url,pakaging,price
Acetonitrile,0101269-250ML,"Residual solvent, Impurity profile & Headspace analysis. GC Grade solvent",H1B42,A1D1C45,,250ML, 610.00 
ACETONITRILE ANHYDROUS,0101300-500ML,,H1B43,A1D1C46,,500ML, 445.00 
ACETONITRILE ANHYDROUS,0101300-1000ML,,H1B44,A1D1C47,,1000ML, 875.00 
ACETONITRILE ANHYDROUS,0101300-2500ML,,H1B45,A1D1C48,,2500ML," 1,590.00 "
ACETOPHENONE,0101238-500ML,99% puriss for synthesis [98-86-2],H1B46,A1D1C49,,500ML, 555.00 
ACETOPHENONE,0101238-2500ML,99% puriss for synthesis [98-86-2],H1B47,A1D1C50,,2500ML," 2,250.00 "
4-(4-Acetoxyphenyl)-2-butanone,0101262-25G,99% (Cue Lure) [3572-06-3],H1B48,A1D1C51,,25G, 550.00 
4-(4-Acetoxyphenyl)-2-butanone,0101262-100G,99% (Cue Lure) [3572-06-3],H1B49,A1D1C52,,100G," 1,900.00 "
4-(4-Acetoxyphenyl)-2-butanone,0101262-500G,99% (Cue Lure) [3572-06-3],H1B50,A1D1C53,,500G," 7,500.00 "
4-(4-Acetoxyphenyl)-2-butanone,0101262-5KG,99% (Cue Lure) [3572-06-3],H1B51,A1D1C54,,5KG," 68,000.00 "
ACETYLACETONE,010152-500ML,puriss AR,H1B52,A1D1C55,,500ML," 1,150.00 "
9-ACETYL ANTHRACENE,0101235-5G,99% puriss for synthesis [784-04-3],H1B53,A1D1C56,,5G," 1,400.00 "
9-ACETYL ANTHRACENE,0101235-25G,99% puriss for synthesis [784-04-3],H1B54,A1D1C57,,25G," 5,500.00 "
POTASSIUM PYROANTIMONATE,0116308-100G,99% puriss for synthesis [10090-54-7],H1B55,A1D1C58,,100G," 8,000.00 "
TRIFLUOROACETIC ACID,052084-100ML,IR & NMR SPECTROSCOPY,H1B56,A1D1C59,,100ML," 2,300.00 "
4-Acetylbenzoic acid,0101263-1G,98% puriss for synthesis [586-89-0],H1B57,A1D1C60,,1G, 900.00 
4-Acetylbenzoic acid,0101263-5G,98% puriss for synthesis [586-89-0],H1B58,A1D1C61,,5G," 4,000.00 "
4-Acetylbenzoic acid,0101263-25G,98% puriss for synthesis [586-89-0],H1B59,A1D1C62,,25G," 15,000.00 "
2-Acetylbenzothiophene,0101250-1G,98% puriss for synthesis [22720-75-8],H1B60,A1D1C63,,1G," 8,000.00 "
2-Acetylbenzothiophene,0101250-5G,98% puriss for synthesis [22720-75-8],H1B61,A1D1C64,,5G," 35,000.00 "
ACETYL BROMIDE,0101167-250ML,98% puriss for synthesis,H1B62,A1D1C65,,250ML," 2,900.00 "
ACETYL BROMIDE,0101167-1000ML,98% puriss for synthesis,H1B63,A1D1C66,,1000ML," 9,800.00 "
2-ACETYL-6-BROMOPYRIDINE,0101297-1G,97% puriss for synthesis [49669-13-8],H1B64,A1D1C67,,1G," 5,100.00 "
2-ACETYL-6-BROMOPYRIDINE,0101297-5G,97% puriss for synthesis [49669-13-8],H1B65,A1D1C68,,5G," 18,000.00 "
"N-ACETYL-y-BUTYROLACTONE (2-Acetyl-y-butyrolactone, ABL)",0101189-100G,98% pure for synthesis,H1B66,A1D1C69,,100G," 1,100.00 "
"N-ACETYL-y-BUTYROLACTONE (2-Acetyl-y-butyrolactone, ABL)",0101189-500G,98% pure for synthesis,H1B67,A1D1C70,,500G," 3,800.00 "
ACETYL CHLORIDE,0101168-500ML,98% pure for synthesis,H1B68,A1D1C71,,500ML, 490.00 
2-ACETYLFLUORENE,0101211-5G,98%,H1B69,A1D1C72,,5G," 1,400.00 "
2-ACETYLFLUORENE,0101211-25G,98%,H1B70,A1D1C73,,25G," 5,000.00 "
2-ACETYLFLUORENE,0101211-100G,98%,H1B71,A1D1C74,,100G," 18,000.00 "
N-ACETYL-L-GLUTAMIC ACID,0101150-25G,99% (T) puriss for biochemistry,H1B72,A1D1C75,,25G, 750.00 
N-ACETYL-L-GLUTAMIC ACID,0101150-100G,99% (T) puriss for biochemistry,H1B73,A1D1C76,,100G," 2,800.00 "
3-ACETYLINDOLE (3-indolyl methylketone),010191-1G,puriss for synthesis,H1B74,A1D1C77,,1G, 750.00 
3-ACETYLINDOLE (3-indolyl methylketone),010191-5G,puriss for synthesis,H1B75,A1D1C78,,5G," 3,000.00 "
3-ACETYLINDOLE (3-indolyl methylketone),010191-25G,puriss for synthesis,H1B76,A1D1C79,,25G," 9,600.00 "
"N-ACETYLNEURAMINIC ACID (NANA), crystalline",0101248-25MG,puriss for biochemistry,H1B77,A1D1C80,,25MG," 1,050.00 "
"N-ACETYLNEURAMINIC ACID (NANA), crystalline",0101248-100MG,puriss for biochemistry,H1B78,A1D1C81,,100MG," 3,200.00 "
"N-ACETYLNEURAMINIC ACID (NANA), crystalline",0101248-500MG,puriss for biochemistry,H1B79,A1D1C82,,500MG," 10,500.00 "
2-ACETYLPYRIDINE,0101198-100G,98% (Methyl-2-Pyridylketone) puriss for synthesis,H1B80,A1D1C83,,100G," 3,300.00 "
3-ACETYLPYRIDINE,0101199-100G,98% (Methyl-2-Pyridylketone) puriss for synthesis,H1B81,A1D1C84,,100G," 2,800.00 "
2-ACETYLTHIOPHENE (Methyl-2-thienylketone),0101210-100G,98% puriss for synthesis,H1B82,A1D1C85,,100G," 1,800.00 "
2-ACETYLTHIOPHENE (Methyl-2-thienylketone),0101210-500G,98% puriss for synthesis,H1B83,A1D1C86,,500G," 6,000.00 "
3-ACETYL THIOPHENE,0101230-5G,98% puriss for synthesis [1468-83-3],H1B84,A1D1C87,,5G," 3,100.00 "
3-ACETYL THIOPHENE,0101230-25G,98% puriss for synthesis [1468-83-3],H1B85,A1D1C88,,25G," 11,000.00 "
3-ACETYL THIOPHENE,0101230-100G,98% puriss for synthesis [1468-83-3],H1B86,A1D1C89,,100G," 42,000.00 "
ACID FUSCHINE,010126-25G,microscopy (C.I.No.-42685),H1B87,A1D1C90,,25G, 450.00 
ACID FUSCHINE,010126-100G,microscopy (C.I.No.-42685),H1B88,A1D1C91,,100G," 1,600.00 "
ACRYLAMIDE,010109-500G,98% (GC) puriss for  synthesis,H1B89,A1D1C92,,500G, 400.00 
ACRYLAMIDE,010109-10x500G,98% (GC) puriss for  synthesis,H1B90,A1D1C93,,10x500G," 3,800.00 "
ACRYLAMIDE,010110-100G,99% cryst.puriss for electrophoresis,H1B91,A1D1C94,,100G, 385.00 
ACRYLAMIDE,010110-500G,99% cryst.puriss for electrophoresis,H1B92,A1D1C95,,500G," 1,500.00 "
ACRYLAMIDE,010111-100G,99.5% AR 4x cryst for electrophoresis,H1B93,A1D1C96,,100G, 670.00 
ACRYLAMIDE,010111-500G,99.5% AR 4x cryst for electrophoresis,H1B94,A1D1C97,,500G," 3,100.00 "
TRIFLUOROACETIC ACID,052084-10X100ML,IR & NMR SPECTROSCOPY,H1B95,A1D1C98,,10X100ML," 22,000.00 "
ADA buffer (N-[2-acetamido]-2-iminodiacetic acid),0101282-25G,,H1B96,A1D1C99,,25G, 600.00 
ADA buffer (N-[2-acetamido]-2-iminodiacetic acid),0101282-100G,,H1B97,A1D1C100,,100G," 2,100.00 "
ADA buffer (N-[2-acetamido]-2-iminodiacetic acid),0101282-500G,,H1B98,A1D1C101,,500G," 9,500.00 "
ADAMANTANE,0101240-25G,99% puriss for synthesis [281-23-2],H1B99,A1D1C102,,25G, 675.00 
ADAMANTANE,0101240-100G,99% puriss for synthesis [281-23-2],H1B100,A1D1C103,,100G," 2,050.00 "
1-Adamantanol,0101249-5G,99% puriss for synthesis [768-95-6],H1B101,A1D1C104,,5G, 875.00 
1-Adamantanol,0101249-25G,99% puriss for synthesis [768-95-6],H1B102,A1D1C105,,25G," 2,500.00 "
1-Adamantanol,0101249-100G,99% puriss for synthesis [768-95-6],H1B103,A1D1C106,,100G," 9,000.00 "
2-ADAMANTANONE,0101227-5G,98% puriss for synthesis [700-58-3],H1B104,A1D1C107,,5G," 1,800.00 "
2-ADAMANTANONE,0101227-25G,98% puriss for synthesis [700-58-3],H1B105,A1D1C108,,25G," 4,800.00 "
2-ADAMANTANONE,0101227-100G,98% puriss for synthesis [700-58-3],H1B106,A1D1C109,,100G," 18,000.00 "
ADENINE,0101130-10G,puriss for biochemistry,H1B107,A1D1C110,,10G, 500.00 
ADENINE,0101130-25G,puriss for biochemistry,H1B108,A1D1C111,,25G," 1,100.00 "
ADENINE,0101130-500G,puriss for biochemistry,H1B109,A1D1C112,,500G," 15,000.00 "
ADENINE SULPHATE,0101132-10G,puriss for biochemistry,H1B110,A1D1C113,,10G, 850.00 
ADENINE SULPHATE,0101132-100G,puriss for biochemistry,H1B111,A1D1C114,,100G," 6,500.00 "
ADENOSINE-5'-MONOPHOSPHORIC ACID DISODIUM SALT (AMP Na2),010112-1G,puriss for biochemistry,H1B112,A1D1C115,,1G, 170.00 
ADENOSINE-5'-MONOPHOSPHORIC ACID DISODIUM SALT (AMP Na2),010112-5G,puriss for biochemistry,H1B113,A1D1C116,,5G, 720.00 
ADENOSINE-5'-MONOPHOSPHORIC ACID DISODIUM SALT (AMP Na2),010112-25G,puriss for biochemistry,H1B114,A1D1C117,,25G," 2,400.00 "
ADENOSINE-5'-MONOPHOSPHORIC ACID DISODIUM SALT (AMP Na2),010112-100G,puriss for biochemistry,H1B115,A1D1C118,,100G," 8,500.00 "
ADENOSINE-5'-TRIPHOSPHORIC ACID DISODIUM SALT (ATP Na2),010113-1G,puriss for biochemistry,H1B116,A1D1C119,,1G, 150.00 
ADENOSINE-5'-TRIPHOSPHORIC ACID DISODIUM SALT (ATP Na2),010113-5G,puriss for biochemistry,H1B117,A1D1C120,,5G, 600.00 
ADENOSINE-5'-TRIPHOSPHORIC ACID DISODIUM SALT (ATP Na2),010113-25G,puriss for biochemistry,H1B118,A1D1C121,,25G," 2,450.00 "
ADENOSINE-5'-TRIPHOSPHORIC ACID DISODIUM SALT (ATP Na2),010113-100G,puriss for biochemistry,H1B119,A1D1C122,,100G," 8,600.00 "
ADIPAMIDE,010195-5G,98% (N) puriss for synthesis,H1B120,A1D1C123,,5G," 1,800.00 "
ADIPAMIDE,010195-25G,98% (N) puriss for synthesis,H1B121,A1D1C124,,25G," 5,000.00 "
ADIPAMIDE,010195-100G,98% (N) puriss for synthesis,H1B122,A1D1C125,,100G," 18,000.00 "
ADIPIC ACID,010194-500G,99% (Hexanedioic acid ) pure for synthesis,H1B123,A1D1C126,,500G, 525.00 
ADIPIC ACID,010194-2500G,99% (Hexanedioic acid ) pure for synthesis,H1B124,A1D1C127,,2500G," 1,900.00 "
AGAR AGAR powder,0101222-500G,Regular Grade [9002-18-0],H1B125,A1D1C128,,500G," 3,500.00 "
AGAR AGAR,010180-500G,puriss for biochemistry,H1B126,A1D1C129,,500G," 4,100.00 "
ß-ALANINE,0101155-25G,98% puriss for synthesis,H1B127,A1D1C130,,25G, 200.00 
ß-ALANINE,0101155-100G,98% puriss for synthesis,H1B128,A1D1C131,,100G, 800.00 
ß-ALANINE,0101155-1000G,98% puriss for synthesis,H1B129,A1D1C132,,1000G," 7,800.00 "
DL-ALANINE,0101143-1G,puriss OAS grade,H1B130,A1D1C133,,1G, 70.00 
DL-ALANINE,0101143-5G,puriss OAS grade,H1B131,A1D1C134,,5G, 155.00 
DL-ALANINE,0101137-25G,99% puriss for biochemistry CHR,H1B132,A1D1C135,,25G, 180.00 
DL-ALANINE,0101137-100G,99% puriss for biochemistry CHR,H1B133,A1D1C136,,100G, 430.00 
DL-ALANINE,0101137-1000G,99% puriss for biochemistry CHR,H1B134,A1D1C137,,1000G," 3,400.00 "
D-ALANINE,0101224-1G,99% puriss for biochemistry CHR,H1B135,A1D1C138,,1G, 250.00 
D-ALANINE,0101224-5G,99% puriss for biochemistry CHR,H1B136,A1D1C139,,5G," 1,200.00 "
D-ALANINE,0101224-25G,99% puriss for biochemistry CHR,H1B137,A1D1C140,,25G," 5,500.00 "
L-ALANINE,0101136-25G,99% puriss for biochemistry CHR,H1B138,A1D1C141,,25G, 235.00 
L-ALANINE,0101136-100G,99% puriss for biochemistry CHR,H1B139,A1D1C142,,100G, 800.00 
L-ALANINE,0101136-1000G,99% puriss for biochemistry CHR,H1B140,A1D1C143,,1000G," 5,800.00 "
ALAR-B-9,010181-1G,99% puriss AR (Plant growth regulator),H1B141,A1D1C144,,1G, 700.00 
ALAR-B-9,010181-5G,99% puriss AR (Plant growth regulator),H1B142,A1D1C145,,5G," 3,000.00 "
ALBUMINE BOVINE FRACTION V.,010118-10G,puriss for biochemistry,H1B143,A1D1C146,,10G," 1,550.00 "
ALBUMINE BOVINE FRACTION V.,010118-100G,puriss for biochemistry,H1B144,A1D1C147,,100G," 14,000.00 "
ALBUMINE BOVINE 100% 2 x Cryst.,010198-100MG,puriss for biochemistry,H1B145,A1D1C148,,100MG, 900.00 
ALBUMINE BOVINE 100% 2 x Cryst.,010198-1G,puriss for biochemistry,H1B146,A1D1C149,,1G," 5,000.00 "
ALCIAN BLUE 8GX,0101100-5G,microscopy [33864-99-2],H1B147,A1D1C150,,5G," 2,275.00 "
ALCIAN BLUE 8GX,0101100-25G,microscopy [33864-99-2],H1B148,A1D1C151,,25G," 9,250.00 "
ALIQUAT 336 (Tricaprylylmethylammoniumchloride) an excellent phase transfer catalyst,010156-250ML,,H1B149,A1D1C152,,250ML," 1,400.00 "
ALIQUAT 336 (Tricaprylylmethylammoniumchloride) an excellent phase transfer catalyst,010156-1000ML,,H1B150,A1D1C153,,1000ML," 5,350.00 "
ALIZARINE RED S pure (C.I.No.-58005),010157-25G,,H1B151,A1D1C154,,25G, 450.00 
ALIZARINE RED S pure (C.I.No.-58005),010157-100G,,H1B152,A1D1C155,,100G," 1,400.00 "
ALIZARINE RED S,010160-25G,puriss AR (C.I.No.-58005) Acid base indicator,H1B153,A1D1C156,,25G, 500.00 
ALIZARINE RED S,010160-100G,puriss AR (C.I.No.-58005) Acid base indicator,H1B154,A1D1C157,,100G," 1,500.00 "
ALLOXAN monohydrate,0101126-25G,98% pure for synthesis,H1B155,A1D1C158,,25G, 600.00 
ALLOXAN - TETRAHYDRATE,0101204-10G,puriss,H1B156,A1D1C159,,10G," 1,250.00 "
ALLOXAN - TETRAHYDRATE,0101204-50G,puriss,H1B157,A1D1C160,,50G," 4,850.00 "
ALLYL ALCOHOL(2-Propen-1-ol),010125-500ML,98% puriss for synthesis,H1B158,A1D1C161,,500ML, 700.00 
ALLYL ALCOHOL(2-Propen-1-ol),010125-2500ML,98% puriss for synthesis,H1B159,A1D1C162,,2500ML," 3,000.00 "
Allylamine,0101271-250ML,99% puriss for synthesis [107-11-9],H1B160,A1D1C163,,250ML," 2,200.00 "
Allylamine,0101271-1000ML,99% puriss for synthesis [107-11-9],H1B161,A1D1C164,,1000ML," 7,000.00 "
ALLYL BROMIDE (3-BROMOPROPENE),0101127-100ML,98% puriss for synthesis,H1B162,A1D1C165,,100ML, 675.00 
ALLYL BROMIDE (3-BROMOPROPENE),0101127-500ML,98% puriss for synthesis,H1B163,A1D1C166,,500ML," 2,200.00 "
ALLYL CHLORIDE (3-CHLORO-1-PROPENE),010153-500ML,99% puriss for synthesis,H1B164,A1D1C167,,500ML, 500.00 
ALLYL CHLOROFORMATE,0101241-100G,98% puriss for synthesis [2937-50-0],H1B165,A1D1C168,,100G," 2,500.00 "
ALLYL CHLOROFORMATE,0101241-500G,98% puriss for synthesis [2937-50-0],H1B166,A1D1C169,,500G," 10,500.00 "
ALLYL METHACRYLATE,0101311-100G,98% puriss for synthesis [96-05-9],H1B167,A1D1C170,,100G," 1,500.00 "
ALLYL METHACRYLATE,0101311-500G,98% puriss for synthesis [96-05-9],H1B168,A1D1C171,,500G," 6,000.00 "
Allyltributylstannate,0101272-25G,puriss for synthesis [24850-33-7],H1B169,A1D1C172,,25G," 4,200.00 "
Allyltributylstannate,0101272-100G,puriss for synthesis [24850-33-7],H1B170,A1D1C173,,100G," 16,500.00 "
ALLYLTRIMETHYLSILANE,0101317-10G,98% puriss for synthesis [762-72-1],H1B171,A1D1C174,,10G," 1,550.00 "
ALLYLTRIMETHYLSILANE,0101317-50G,98% puriss for synthesis [762-72-1],H1B172,A1D1C175,,50G," 6,250.00 "
ALUMINIUM broken ingots,010179-100G,99.995% (packed under Argon),H1B173,A1D1C176,,100G," 1,050.00 "
ALUMINIUM-sec-BUTYLATE,0101128-100ML,pract for synthesis,H1B174,A1D1C177,,100ML," 4,600.00 "
ALUMINIUM-tri-tert-BUTYLATE,0101101-10G,puriss for synthesis,H1B175,A1D1C178,,10G," 6,000.00 "
ALUMINUM CHLORIDE ANHYDROUS powder,0101243-500G,99% puriss for synthesis [7446-70-0],H1B176,A1D1C179,,500G, 380.00 
ALUMINUM CHLORIDE ANHYDROUS powder,0101243-10x500G,99% puriss for synthesis [7446-70-0],H1B177,A1D1C180,,10x500G," 3,600.00 "
ALUMINUM CHLORIDE ANHYDROUS crystals,0101244-500G,99% puriss for synthesis [7446-70-0],H1B178,A1D1C181,,500G, 405.00 
ALUMINIUM ISOPROPOXIDE,0101164-500G,puriss,H1B179,A1D1C182,,500G, 600.00 
ALUMINIUM OXIDE activated neutral,0101134-500G,column chromatography,H1B180,A1D1C183,,500G, 350.00 
ALUMINIUM PERCHLORATE octahydrate,0101102-25G,~ 95% cryst. pure for synthesis,H1B181,A1D1C184,,25G," 5,100.00 "
Aluminium Trifluoromethanesulfonate,0101273-10G,98% puriss for synthesis [74974-61-1],H1B182,A1D1C185,,10G," 4,000.00 "
Aluminium Trifluoromethanesulfonate,0101273-50G,98% puriss for synthesis [74974-61-1],H1B183,A1D1C186,,50G," 15,850.00 "
"AMBERLITE CG-120,200-400 mesh",0101133-50G,chromatographic analysis AR,H1B184,A1D1C187,,50G," 2,100.00 "
"AMBERLITE CG-120,200-400 mesh",0101133-250G,chromatographic analysis AR,H1B185,A1D1C188,,250G," 9,200.00 "
Aminoacetaldehyde diethylacetal,0101274-25ML,98% puriss for synthesis [645-36-3],H1B186,A1D1C189,,25ML," 4,550.00 "
Aminoacetaldehyde diethylacetal,0101274-100ML,98% puriss for synthesis [645-36-3],H1B187,A1D1C190,,100ML," 14,000.00 "
Aminoacetaldehyde dimethyl acetal,0101275-25ML,98% puriss for synthesis [22483-09-6],H1B188,A1D1C191,,25ML," 2,000.00 "
Aminoacetaldehyde dimethyl acetal,0101275-100ML,98% puriss for synthesis [22483-09-6],H1B189,A1D1C192,,100ML," 6,500.00 "
AMINOACETONITRILE HYDROCHLORIDE,0101301-25G,97% puriss for synthesis [6011-14-9],H1B190,A1D1C193,,25G," 1,500.00 "
AMINOACETONITRILE HYDROCHLORIDE,0101301-100G,97% puriss for synthesis [6011-14-9],H1B191,A1D1C194,,100G," 4,000.00 "
2-AMINOACETOPHENONE,010144-10G,~ 98% pure for synthesis,H1B192,A1D1C195,,10G," 1,000.00 "
2-AMINOACETOPHENONE,010144-100G,~ 98% pure for synthesis,H1B193,A1D1C196,,100G," 9,500.00 "
2-AMINOACETOPHENONE HCl,0101229-10G,98% puriss for synthesis [25384-14-9],H1B194,A1D1C197,,10G," 1,800.00 "
2-AMINOACETOPHENONE HCl,0101229-100G,98% puriss for synthesis [25384-14-9],H1B195,A1D1C198,,100G," 16,000.00 "
3-AMINOACETOPHENONE,0101216-100G,98% puriss for synthesis,H1B196,A1D1C199,,100G," 1,100.00 "
3-AMINOACETOPHENONE,0101216-500G,98% puriss for synthesis,H1B197,A1D1C200,,500G," 4,000.00 "
4-AMINOACETOPHENONE,010146-100G,98% puriss for synthesis,H1B198,A1D1C201,,100G," 1,850.00 "
4-AMINOACETOPHENONE,010146-500G,98% puriss for synthesis,H1B199,A1D1C202,,500G," 6,800.00 "
4-AMINOANTIPYRINE,010183-25G,99% puriss AR,H1B200,A1D1C203,,25G, 655.00 
"3-AMINOBENZENE SULFONAMIDE (Metanilamide, m-Sulphanilamide)",0101201-100G,97% puriss for synthesis,H1B201,A1D1C204,,100G," 3,100.00 "
3-AMINOBENZOIC ACID,0101105-250G,98% puriss for synthesis,H1B202,A1D1C205,,250G," 1,200.00 "
3-AMINOBENZOIC ACID,0101105-1KG,98% puriss for synthesis,H1B203,A1D1C206,,1KG," 3,500.00 "
3-AMINOBENZOIC ACID,0101106-50G,99% puriss AR,H1B204,A1D1C207,,50G," 1,250.00 "
4-AMINOBENZOIC ACID,0101217-250G,99% puriss for synthesis,H1B205,A1D1C208,,250G, 975.00 
2-AMINOBENZOTHIAZOLE,0101108-25G,99% puriss AR,H1B206,A1D1C209,,25G, 750.00 
2-AMINOBENZOTHIAZOLE,0101108-100G,99% puriss AR,H1B207,A1D1C210,,100G," 2,500.00 "
4-Aminobenzylalcohol,0101264-5G,97% puriss for synthesis [623-04-1],H1B208,A1D1C211,,5G," 1,850.00 "
4-Aminobenzylalcohol,0101264-25G,97% puriss for synthesis [623-04-1],H1B209,A1D1C212,,25G," 6,400.00 "
4-Aminobenzylalcohol,0101264-100G,97% puriss for synthesis [623-04-1],H1B210,A1D1C213,,100G," 28,500.00 "
3-AMINOBENZYLAMINE,0101315-5G,97% puriss for synthesis [4403-70-7],H1B211,A1D1C214,,5G," 4,000.00 "
3-AMINOBENZYLAMINE,0101315-25G,97% puriss for synthesis [4403-70-7],H1B212,A1D1C215,,25G," 14,000.00 "
4-AMINOBENZYLAMINE,0101316-5G,97% puriss for synthesis [4403-71-8],H1B213,A1D1C216,,5G," 3,000.00 "
4-AMINOBENZYLAMINE,0101316-25G,97% puriss for synthesis [4403-71-8],H1B214,A1D1C217,,25G," 12,500.00 "
DL-ALPHA-AMINOBUTYRIC ACID,0101247-25G,98% puriss for biochemistry [2835-81-6],H1B215,A1D1C218,,25G," 1,850.00 "
DL-ALPHA-AMINOBUTYRIC ACID,0101247-100G,98% puriss for biochemistry [2835-81-6],H1B216,A1D1C219,,100G," 5,150.00 "
2-AMINO-5-BROMOBENZOIC ACID,0101318-5G,98% puriss for synthesis [5794-88-7],H1B217,A1D1C220,,5G," 2,200.00 "
2-AMINO-5-BROMOBENZOIC ACID,0101318-25G,98% puriss for synthesis [5794-88-7],H1B218,A1D1C221,,25G," 9,000.00 "
2-Amino-5-bromobenzonitrile,0101253-1G,98% puriss for synthesis [39263-32-6],H1B219,A1D1C222,,1G," 2,950.00 "
2-Amino-5-bromobenzonitrile,0101253-5G,98% puriss for synthesis [39263-32-6],H1B220,A1D1C223,,5G," 11,500.00 "
2-Amino-5-bromopyridine,0101254-25G,98% puriss for synthesis [1072-97-5],H1B221,A1D1C224,,25G, 850.00 
2-Amino-5-bromopyridine,0101254-100G,98% puriss for synthesis [1072-97-5],H1B222,A1D1C225,,100G," 2,850.00 "
3-AMINO-2-BROMOPYRIDINE,0101320-1G,97% puriss for synthesis [39856-58-1],H1B223,A1D1C226,,1G," 4,000.00 "
